title,money,knoladge,company,addition,city,link
Оператор котельной,35.0,,"Сеть химчисток ""Диана""Проверенный работодатель5.9",['Сменный график'],"Москва, Дорожная улица",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/operator-kotelnoj-30652876.html
Оператор кромочного станка мебель,105.0,,Деревообрабатывающий комбинат №17,"['Опыт не нужен', 'Полная занятость']",Лесной,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/operator-kromochnogo-stanka-mebel-49780467.html
"Управляющий магазином (ТЦ Принц Плаза, м. Теплый Стан)",143.0,,Улыбка радуги6.9,['Полная занятость'],"Москва, Профсоюзная улица, 129А",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/upravlyayuschij-magazinom-50941557.html
Врач оториноларинголог (м. Раменки),150.0,,"Группа Компаний ""Медси""/АО ""ГРУППА КОМПАНИЙ ""МЕДСИ""Проверенный работодатель7.4",,"Москва, Мичуринский проспект, 56с1",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/vrach-otorinolaringolog-51039352.html
Эксперт клиентского центра,55.0,,«Почта Банк»6.8,"['Опыт не нужен', 'Полная занятость']",Вязьма,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/ekspert-klientskogo-centra-51104479.html
Упаковщик на склад,194.0,,СамокатПроверенный работодатель,"['Опыт не нужен', 'Частичная занятость', 'Совместительство']","Москва, Новочерёмушкинская улица, 49",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/upakovschik-na-sklad-51126696.html
Водитель автогидроподъемника-электромонтер 4 разряд,123.0,,Объединенная энергетическая компанияПроверенный работодатель,['Полная занятость'],"Москва, Днепропетровский проезд, 4А",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/voditel-avtogidropodemnika-elektromonter-4-razryad-51130534.html
Дежурант (м. Локомотив),45.0,,Ригла7.6,"['Опыт не нужен', 'Сменный график']","Москва, Щёлковское шоссе, 8",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/dezhurant-51141692.html
Кладовщик (ТЦ Лето),415.5,,Фамилия7.3,"['Отклик без резюме', 'Опыт не нужен', 'Доступно студентам']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/kladovschik-51153928.html
Диспетчер по транспорту,46.0,,ЦЕМРОСПроверенный работодатель,,Жигулевск,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/dispetcher-po-transportu-51092229.html
Арматурщик (м. Теплый Стан),170.0,,ГК РОЛЬФ7.8,['Полная занятость'],,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/armaturschik-51133947.html
Учитель информатики,65.0,,ГБОУ СОШ № 544,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/uchitel-informatiki-31123296.html
Менеджер по работе с клиентами (Свердлова 2),32.5,,Юрченко,['Опыт не нужен'],Долгое,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/menedzher-po-rabote-s-klientami-51069711.html
Доброволец на СВО; Максимальные выплаты,295.0,OPOE A OA O,Единый пункт отбора на службу по контракту,"['Опыт не нужен', 'Полная занятость']",Ангарск,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/dobrovolec-na-svo-51134368.html
Супервайзер/Менеджер по продажам,125.0,,Эй - Пи Трейд7.5,['Полная занятость'],Владивосток,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/supervajzer-51134330.html
Помощник начальника смены (г. Пушкино),76.0,,Бристоль Ритейл Логистикс,['Сменный график'],,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/pomoschnik-nachalnika-smeny-51169972.html
Слесарь-ремонтник,56.0,,Зиракс,"['Опыт не нужен', 'Полная занятость']",Волгоград,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/slesar-remontnik-45450388.html
Детский врач-офтальмолог,518.5,,Департамент занятости населения Ямало-Ненецкого автономного округа,['Опыт не нужен'],Новый Уренгой,https://russia.superjob.ru/vacancy/search/?page=13/vakansii/detskij-vrach-oftalmolog-51056961.html
"Секретарь, Помощник руководителя, Делопроизводитель",75.0,,Социальный фонд России,['Полная занятость'],"Москва, улица Сущёвский Вал, 1",https://russia.superjob.ru/vacancy/search/?page=13/vakansii/sekretar-51142040.html
Культорганизатор детских внешкольных учреждений,394.5,,"СПб ГУП ""Горэлектротранс""6.9","['Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=13/vakansii/kultorganizator-detskih-vneshkolnyh-uchrezhdenij-50572567.html
"Пекарь (Сургут, Производственная, 5/1)",52.0,,ПятёрочкаПроверенный работодатель6.5,['Частичная занятость'],Сургут,https://russia.superjob.ru/vacancy/search/?page=13/vakansii/pekar-50396886.html
Продавец деликатесов,75.0,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Пушкино,https://russia.superjob.ru/vacancy/search/?page=13/vakansii/prodavec-delikatesov-51118825.html
Машинист-обходчик по котельному оборудованию,326.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Пенза,https://russia.superjob.ru/vacancy/search/?page=13/vakansii/mashinist-obhodchik-po-kotelnomu-oborudovaniyu-50854683.html
Водитель коммунальной дорожной машины,143.0,,ГСП-Механизация,['Вахта'],Алдан,https://russia.superjob.ru/vacancy/search/?page=13/vakansii/voditel-kommunalnoj-dorozhnoj-mashiny-50136072.html
Инженер по эксплуатации зданий и сооружений,По договорённости,,Лемана ПРОПроверенный работодатель7.8,"['Отклик без резюме', 'Полная занятость']",Электросталь,https://russia.superjob.ru/vacancy/search/?page=13/vakansii/inzhener-po-ekspluatacii-zdanij-i-sooruzhenij-51122129.html
